# dataset,Solution dataset URL,Solution name,Solution on-sentence summary,Identification,Label Date,By,From,Maturity stage,Looking For,Target client profile,Tags,Sectors,Youtube Video URL,The environmental benefits,The Financial benefits,Activity Region - Continent,Activity Region - Countries,Complementary solutions,Organization dataset URL
69,https://solarimpulse.com/solutions-explorer/lignoguard?queryID=e287367e9266cf669e016d7fe30b8135,LignoGuard,A functional ingredient made from upcycled biomass lignin to replace harmful chemicals in consumer products,"LignoGuard is a bio-based multifunctional ingredient derived from upcycled biomass lignin. LignoGuard unlocks the protective functions of lignin for many consumer products such as cosmetics, coatings, and packaging. For example, it can be used in cosmetics to protect the skin from the damaging influences of sunlight, oxidation, and other stressors. At Lignovations, we believe that natural resources are precious and should be used to their best potential. LignoGuard is sourced from wood waste and produced without any harmful chemicals to unlock lignin’s natural functions for cosmetic products. Our ingredients have passed a regulatory safety assessment and have been awarded the eco-label “COSMOS Certified” confirming its sustainability.","March 31, 2023",Lignovations GmbH,Austria,Prototype testing in the real world,"New clients, Partners, Network",BusinessManufacturingChemicals & Pharmaceuticals,"Consumer-goods, Chemicals, Reuse waste, Waste-to-materials, Chemicals alternatives, Green waste, Solid biomass, Recycle waste","Industry/Goods, Materials and chemicals",,Reducing the amount of UV filters by 50% in cosmetics and even more in other applications;40% better antioxidant performance than Vitamin C/E;50% reduction in harmful UV filters;100% upcycled material;,Reduction of problematic chemicals by 50%;Reduction of formulation cost by 10%;,Europe,"Austria,Switzerland,Germany,Spain,France,Italy","WOODOO: A bio-based translucent wood material for sustainable construction applications (Industry & Consumer Goods);LACTIPS: A 100% biobased material for a sustainable packaging alternative (Industry & Consumer Goods);RT7000: A machine to chemically recycle plastic waste back into oil (Industry & Consumer Goods,Waste & Pollution);BIO DISPERSIS LC: Recycle vinasse, a polluting residue from the alcohol industry, into organic additives for concrete (Waste & Pollution,Industry & Consumer Goods);",/companies/view/lignovations-gmbh
70,https://solarimpulse.com/solutions-explorer/seads-blue-barriers?queryID=e287367e9266cf669e016d7fe30b8135,SEADS BLUE BARRIERS,Turns ocean plastic into wealth by capturing it in rivers and extracting the highest value from it,"The Blue Barriers are an award-winning solution to solve Ocean plastic pollution, by collecting it from rivers BEFORE it even gets to the Ocean. They use the water flow to accompany plastic litter towards a collection basin on a side of the river, where it can be easily removed and directed to recycle. They allow boat navigation and guarantee no impact on river life. Designed to resist any river condition thanks to stainless-steel cable structure, they represent a permanent solution to dramatically reduce the quantity of plastic reaching the Oceans. As recent studies prove, about 80% of plastic gets to the Ocean from rivers. The Blue Barriers collect about 100% of that plastic in std conditions, improving the quality of life of the local population, reducing the risk of flooding due to waste mismanagement and protecting important industries like tourism and fishing.

Selected among The Economist's Top10 OceanChangeMakers.","March 31, 2023",SEADS,United Kingdom,Initial market commercialization,"Network, New clients, Visibility, Funding, Partners, Credibility","Public Authorities, Local NGO","Marine & Oceans, Rivers, Waste collection, Low-grade plastic waste, Packaging & plastics waste, Water & Wastewater treatment","Waste/Pollution, Water, Solid waste management",https://youtu.be/y3X3a9Qfv6M,"Stops about 100% of riverine plastic;Zero impact on river life and boat navigation;Can be repaid in as little as 2 years by selling the collected waste as wood pellets and premium Ocean Plastic;Stops about 100% of macroplastic in rivers in standards conditions, as measured by the University of Florence Hydrodynamic Lab and during tests on Lamone and Tiber rivers ;Stops microplastics too, as the large quantities of organic materials collected act as a sponge and absorb extremely dangerous meso and microplastics;",Research from the University of Modena shows that installing the BlueBarriers in the most polluted rivers is repaid in 2to15 years by selling the collected plastic and pellets made from wood ;Protects relevant industries like Tourism and Fishing (2019 Deloitte research estimate the Economic Value Loss to be above $1.2B in Asia alone);Creates 2 to 10 direct and indirect jobs for each installation;,"Europe,Asia,Africa,North america,South america","Andorra,Albania,Austria,Bosnia and Herzegovina,Belgium,Switzerland,Germany,Denmark,Estonia,Spain,Finland,Faroe Islands,France,United Kingdom,Guernsey,Gibraltar,Greece,Croatia,Ireland,Isle of Man,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Monaco,Montenegro,Republic of Macedonia,Malta,Netherlands,Norway,Portugal,Serbia,Sweden,Slovenia,San Marino,Vatican City,Kosovo,China (Mainland),Hong Kong SAR,Indonesia,India,Japan,Cambodia,North Korea,South Korea,Laos,Mongolia,Macao SAR,Malaysia,Philippines,Singapore,Thailand,East Timor,Taiwan,Vietnam,Algeria,Egypt,Western Sahara,Libya,Morocco,Niger,Sudan,Tunisia,Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Peru,Paraguay,Suriname,Uruguay,Venezuela","SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);Pellenc ST: Optical sorting machines to recycle large amounts of waste quickly and accurately (Waste & Pollution);RT7000: A machine to chemically recycle plastic waste back into oil (Industry & Consumer Goods,Waste & Pollution);PYROWATTS: A disruptive waste to energy scalable gasifier for decentralized waste management (Waste & Pollution,Energy);",/companies/view/seads
71,https://solarimpulse.com/solutions-explorer/ultracade-power?queryID=e287367e9266cf669e016d7fe30b8135,ULTRAÇADE Power,Positive facade architectural solution to better integrate building projects into their environment,"Ultraçade Power is a composite aluminum ventilated facade system to solarize facades and make photovoltaics accessible. This system provides an architectural solution for integrating solar panels vertically.



The ventilated facade system improves the energy coefficients of buildings through the air gap that is created in the construction system. The energy coefficient of the building is improved by about 30% by this air space which creates a chimney effect that will limit the impact of heat in summer and cold in winter.



It is an architectural solution because the solar panel is framed. There are 13 shapes in total that allow you to adjust to all project lengths, and all project heights, with only standard pieces. It's like a game box, the architect can use the pieces, adapt them to his project, and have, with 13 different shapes, a completely unique project.



The product is Made in France, with varied mounting brackets and a 25-year warranty. Also, it complies with CSTB 3194 specifications.","March 21, 2023",Ultracade Industries,France,Prototype testing in the real world,"Visibility, Credibility","Individual, BusinessConstruction","Thermal insulation, Construction, Solar photovoltaic, Green building, Smart-buildings","Buildings, Power and fuel generation",https://youtu.be/YRDPfl9vx2g,"Up to 90% self-consumption of the energy produced by the facade;Up to 30% improvement in the energy coefficients of the building by the system of implementation of ventilated facade of our solution;Aesthetic architectural solution allowing architects and project leaders to have a solution that easily integrates into the environment of their projects; Today only 10% of old buildings can receive photovoltaics on the roof, while more than 60% can receive them on the facade;100% recyclable product and construction system. (excluding photovoltaic module);Makes it possible to give access to industrialists, shops, public buildings to photovoltaic energy for their electrical self-consumption and to save money while participating in the energy transition;","The additional cost linked to the ""positive"" part of the product is only 20%. this allows a return on investment close to 5 years;No additional cost linked to a reinforcement of the roof structure;Possibility of solarising 100% of the facades in the snow zone, which is more difficult on the roof;",Europe,"Scotland,Netherlands,Monaco,Luxembourg,Liechtenstein,France,Germany,Switzerland,Belgium,Austria","BASIL: Fully-integrated rooftop solar and a nano-grid to power IoT-ready DC home appliances (Buildings & Shelters);BS2 Zeleganz: A high efficient heat pump with seasonal heating, cooling and hybrid solar collectors (Buildings & Shelters,Energy);aH72: Captures solar radiation for both heating and electrical energy on a single panel at reduced cost (Buildings & Shelters,Energy);Opticube: A solar thermal container system, easy to install and accessible to everyone in the world (Industry & Consumer Goods,Buildings & Shelters,Energy);",/companies/view/ultracade-industries
72,https://solarimpulse.com/solutions-explorer/drop2drink-unit-1?queryID=d287172aa152c38a6cd2a48018523d98,Drop2Drink Unit,A decentralized domestic water filtration system that filters rainwater to 100% microbiologically safe drinking water,"The Drop2Drink Unit is a decentralized water filtration system primarily used domestically (but also suitable for SME's). The Unit is designed to combat the increasing global water scarcity. The Drop2Drink unit has been certified by the World Health Organisation and has been tested by local and international drinking water companies. The unit delivers water on demand. Rainwater is collected in a rainwater storage tank or sack. Whenever a user opens a tap point the water is pumped through the Drop2Drink Unit. The water first passes a microfilter, an activated carbon filter, an ultrafilter and as a backup a UVC-Unit. The system can be monitored constantly (highly recommended option). We guarantee 100% microbiologically safe drinking water and aim to provide access to safe water for everyone. The Drop2Drink unit is flexible, plug&play, durable, economical and consistent. As D2D Water Solutions, we are committed to giving back to society and providing a solution to water scarcity.","March 21, 2023",D2D Water Solutions B.V.,Netherlands,Initial market commercialization,"Network, New clients, Visibility, Credibility","Individual, Local NGO","Drinking-water, Water-networks, Filtration & purification, Water quality, Water & Wastewater treatment","Water, Water supply, Water distribution",,"Guarantees 100% microbiologically safe drinking water;Save up to 100% on central water supply, effectively becoming ""Water-neutral"";Also removes microplastics and asbestos up to 0.01 micron;In 2025 1,8 billion people will be living in countries or regions with absolute water scarcity (WWAP, 2012) and two-thirds of the worlds population could be living under water stressed conditions;23,52% relative CO2eq savings and reduce our collective dependence on freshwater sources as rainwater fulfills your water need;","Save between €489,16 (1 p. household) and €1.330,64 annually (4 p. household) on water, gas, electricity, maintenance, soaps and cleaning products;Companies who have to pay for a rainwater charge can save 100% of their rainwater charge if they store and use the rainwater via the Drop2Drink unit. For example MEG-Gruppe (Bottler) can save €343K/yr;Save between 71% and 100% on your waterbill. ;",Europe,"United Kingdom,Germany,Portugal,Netherlands,Belgium","OSMOSUN: A sustainable, flexible energy source for affordable and renewable water for all (Water);WATA™ technology: Devices to enable local treatment and disinfection of water (Water);Purifaaya: Locally-produced water filters for the production of safe drinking water in uganda (Water);Elemental Water Makers: Desalination system powered by renewable energy (Water);",/companies/view/d2d-water-solutions-b-v
73,https://solarimpulse.com/solutions-explorer/more-circularity-less-mining?queryID=d287172aa152c38a6cd2a48018523d98,More Circularity Less Mining,A combustion-free process to produce metals from ore and residuals for a more circular world,"GreenIron has a process to address a global market and efforts to lower the GHG output of metal production from Q3 2023. The outputs of the GreenIron process are valuable commodities extracted from magnetite, hematite, other metal oxides, minerals, waste, and residual products from the steel, mining, foundry, and manufacturing industries. The process is completely CO2 free, the only emissions from the process are water and metals. The solution can make a difference in the industry today as it works in batches, which enables modular and scalable operations close to the sources and our customers.","March 21, 2023",GreenIron,Sweden,Medium and large scale commercialization,"Network, New clients, Visibility, Partners",BusinessManufacturingMetals & Steel,"Metal, Reuse waste, Waste-to-materials, Scrap metal waste, Waste treatment, Industrial Waste","Industry/Goods, Manufacturing and construction processes",https://youtu.be/aYYdyFooYhU,"To reduce one ton iron ore only consumes 37 kg hydrogen as the residual gas is used in the next batch;The total energy consumption for GreenIrons' furnace is less than 2/3 compared with a blast furnace;Usage of batch processes run 24/7; every batch can be different, which adds flexibility in handling materials;Every furnace can reduce CO2 emissions by at least 54 000-90 000 tons CO2eq per year;If GreenIron's technique was used to recycle annual flow of oxidized scales and filter dust, all iron mines in Europe and North America could be closed;",The tolling fee for the customer is 30-80% of the value from the recycled material;The payback time for the customer is close to zero years;Low capital investment and low supply chain cost;,"Europe,Asia,North america,South america","Sweden,Germany,France,United Kingdom,India,Canada,United States,Brazil,Chile","Claranor: Pulsed light packaging sterilization equipment for bioindustries (Industry & Consumer Goods);RT7000: A machine to chemically recycle plastic waste back into oil (Industry & Consumer Goods,Waste & Pollution);Aluminium recycling system: An aluminium melting and recycling furnace powered by renewable biomass briquettes (Industry & Consumer Goods);Nexelia: Iron melting by supersonic oxygen injection into shaft furnaces for the metal industry (Industry & Consumer Goods);",/companies/view/greeniron
74,https://solarimpulse.com/solutions-explorer/dramix?queryID=d287172aa152c38a6cd2a48018523d98,DRAMIX®,"A material-efficient concrete reinforcement solution for flooring, tunneling and precast applications","Dramix® steel fiber reinforced concrete offers a solution that is both effective, cost-efficient and environmentally conscious. By using steel fibers instead of traditional concrete reinforcement methods such as mesh or rebar, you can reduce the CO2 emissions by up to 35% for the construction of, for example, an automated warehouse, a production plant, tunnels, precast elements, etc. This is because steel fibers reinforce concrete homogeneously, requiring less material for the same level of performance. Additionally, advanced design optimization allows for the creation of thinner, yet durable concrete elements that use less concrete, steel, and water compared to traditional reinforcement methods.","March 16, 2023",Bekaert,Belgium,Medium and large scale commercialization,"Network, New clients, Visibility, Funding, Partners, Credibility","Public Authorities, BusinessConstruction, BusinessManufacturingMinerals & Concrete
, BusinessServicesBuildings Operators, BusinessServicesInfrastructureAirports and Airbases, BusinessServicesInfrastructurePorts and Marine Infrastructure, BusinessServicesInfrastructureRoads & Road Traffic Infrastructure, BusinessServicesInfrastructureTrain Stations and Railways Infrastructure, BusinessServicesInfrastructureWarehouses and Storage Facilities
","Developing countries, Road, Concrete, Design, Concrete alternatives, Green building","Buildings, Manufacturing and construction processes",https://youtu.be/XYiRY5o99yQ,"With tensile strength up to 2400N/mm2 Dramix increases the concrete's durability by 20%;. Every 1cm concrete thickness reduction leads to water savings of 5.5%.;Increase concrete performance under fatigue loading conditions; Increases surface resistance to abrasion and erosion;Reduce the amount of steel up to 50%, resulting lower carbon emission by 35%;Dramix reduce concrete thickness in industrial floors up to 25%;","Dramix reduces material and labor cost by 20%, resulting lower total cost of ownership;Dramix® reinforced concrete elements have 20% longer lifetime, with 50% lower maintenance cost due to better crack control;","Europe,Asia,Africa,North america,South america,Australia","Luxembourg,Liechtenstein,Italy,Iceland,Ireland,Hungary,Croatia,Greece,United Kingdom,France,Finland,Spain,Estonia,Denmark,Germany,Czechia,Switzerland,Belarus,Bulgaria,Belgium,Bosnia and Herzegovina,Austria,Albania,Scotland,Ukraine,Slovakia,Sweden,Russia,Serbia,Romania,Portugal,Poland,Norway,Netherlands,Republic of Moldova,Monaco,Kazakhstan,South Korea,Japan,Jordan,India,Indonesia,Hong Kong SAR,Georgia,China (Mainland),Bhutan,Bahrain,United Arab Emirates,Vietnam,Uzbekistan,Turkey,Thailand,Singapore,Saudi Arabia,Qatar,Philippines,Nepal,Malaysia,Gabon,Ivory Coast,South Africa,Tunisia,Morocco,Guatemala,Guadeloupe,Dominican Republic,Canada,Bahamas,United States,El Salvador,Panama,Mexico,Ecuador,Colombia,Chile,Brazil,Peru,Australia,New Zealand","IPSIIS : Insulation based on mineral foam for better energy conservation (Buildings & Shelters,Waste & Pollution);BHEP: A new generation of buildings designed to create financial, human and societal value (Buildings & Shelters);Sopratec III: Energy efficient building airtightness system (Buildings & Shelters);SOPRASOLAR FIX EVO: A photovoltaic waterproofing process for converting roof surfaces into renewable electrical production (Buildings & Shelters,Energy);",/companies/view/bekaert
75,https://solarimpulse.com/solutions-explorer/gastraq?queryID=d287172aa152c38a6cd2a48018523d98,GASTRAQ,An innovative service in monitoring and quantification of GHG emissions,"The solution aims at providing services for tracing and quantification of greenhouse gas. The solution relies on the integration of low-detection gas sensors, mobile carriers such as UAVs and a strong scientific approach to deliver end-to-end services for emissions measurements in the industry.","March 10, 2023",ReSource International,Iceland,Small scale commercialization,"New clients, Visibility, Funding, Partners","Public Authorities, BusinessServicesWaste & Remediation","Landfill, Drones, Methane, Gaseous waste capture, Leaks, Sensors & monitoring","Waste/Pollution, Solid waste management",,"10 minutes flight time for whole site-emissions quantification;Detect and quantify emissions down to 0,1kg/h for whole-site;Can quantify a large range of gases (CH4, CO2, N2O, etc.);To quantify emissions, the operator does not need to install any equipment;UAV powered by electricity;",Fast quantification brings direct pay-back from improved operation (10-100x);0 CAPEX for the customer;,"Europe,Africa,North america","Andorra,Albania,Austria,Åland,Bosnia and Herzegovina,Belgium,Bulgaria,Belarus,Switzerland,Czechia,Germany,Denmark,Estonia,Spain,Finland,Faroe Islands,France,United Kingdom,Guernsey,Gibraltar,Greece,Croatia,Hungary,Ireland,Isle of Man,Iceland,Italy,Jersey,Liechtenstein,Lithuania,Luxembourg,Latvia,Monaco,Republic of Moldova,Montenegro,Republic of Macedonia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Russia,Sweden,Slovenia,Svalbard and Jan Mayen,Slovakia,San Marino,Ukraine,Vatican City,Kosovo,Scotland,Algeria,Morocco,Tunisia,Greenland,Canada,United States","SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);Pellenc ST: Optical sorting machines to recycle large amounts of waste quickly and accurately (Waste & Pollution);RT7000: A machine to chemically recycle plastic waste back into oil (Industry & Consumer Goods,Waste & Pollution);PYROWATTS: A disruptive waste to energy scalable gasifier for decentralized waste management (Waste & Pollution,Energy);",/companies/view/resource-international
76,https://solarimpulse.com/solutions-explorer/capterall-1?queryID=d287172aa152c38a6cd2a48018523d98,CAPTERALL,An innovative and sustainable solution for the reduction of micropollutants in wastewater,"Capterall® environmental solutions capture pollutants from urban and industrial wastewater.

We are able through a mineral adsorbent to reduce organic and inorganic micro-pollutants content in wastewaters.

In comparison to existing competing technologies, we differentiate ourselves by employing a non-toxic, broad spectrum and lower CAPEX finishing solution

Together with our partners, we can offer a complete fine-tunable solution from environmental consultancy, lab and onsite trials, customized engineering, product supply and technical assistance.","March 10, 2023",Prayon,Belgium,Medium and large scale commercialization,"Network, New clients, Visibility, Credibility","BusinessManufacturingChemicals & Pharmaceuticals, BusinessWater Utility","Heavy metals, Filtration & purification, Industrial wastewater, Water quality, Water & Wastewater treatment","Industry/Goods, Water, Wastewater management",https://youtu.be/6MFyfazrscI,"A polishing solution that reduces the residual content of heavy metals in wastewater by over 95-99%;Possibility to recycle the loaded product inside our own facilities: For SOLVAY TAVAUX for example, the loaded product will be recycle at 100 % in our production units;Ability to reduce fresh water consumption: For some cases Capterall® can enable up to 20% of total treated water recirculation;The fact that it is possible in some cases to recycle up to 100% of the impurity-laden Capterall® saves P, defined as a critical raw material by Europe;The GWP of Capterall® is 0,21 kg CO2/kg while the GWP of TMT15 is 0,98 kg CO2/kg;","Capterall® solutions can bring up to 20% global cost reduction due to lower chemical usage, water reuse and simplified management operation;The implementation of a Capterall® solution requires a low CAPEX for its implementation, which allows a payback time often less than 3 years;",Europe,"Italy,Spain,Germany,Belgium","REM: A novel acid regeneration system for steel pickling (Waste & Pollution,Water,Industry & Consumer Goods);ECOSOFTT: A suite of solutions to allow underserved communities to manage their water resources (Buildings & Shelters,Waste & Pollution,Water);BIO DISPERSIS LC: Recycle vinasse, a polluting residue from the alcohol industry, into organic additives for concrete (Waste & Pollution,Industry & Consumer Goods);ECOLOO: A social impact driven enterprise to address the sanitation crisis in developing countries (Buildings & Shelters,Waste & Pollution,Water);",/companies/view/prayon
77,https://solarimpulse.com/solutions-explorer/j4energy?queryID=d287172aa152c38a6cd2a48018523d98,j4energy,One-stop solution leveraging advanced stochastic mathematical models to devise optimal energy strategies for industry,"j4energy provides a one-stop solution to support industrial decision-makers toward a sustainable future. Thanks to its user-friendly web-based platform, j4energy quickly builds a digital twin of your industrial plant starting from readily available data, maps its current energy situation and identifies optimal roadmaps to meet cost, emissions and energy security targets. Its advanced mathematical models deriving from scientific research guarantee optimal and risk-robust solutions by considering all types of energy technologies, optimizing their interactions and accounting for future uncertainties. Thanks to its proprietary technology library and seamless integration with suppliers, j4energy dramatically cuts lead times from analysis to strategy to implementation - from months to weeks - compared to business-as-usual spreadsheet-based energy analysis and traditional consulting services.","March 7, 2023",j4,Italy,Initial market commercialization,"Network, New clients, Visibility, Partners, Credibility","BusinessMining & Extraction, BusinessConstruction, BusinessManufacturingOther, BusinessEnergy Utility, BusinessWater Utility","Investment, Software, Green building, Building heating, Industrial process heat, Smart-buildings","Buildings, Industry/Goods, Energy and fuel efficiency",,"Advanced energy models considering uncertainties, based on 9 years of scientific research;Over 200 energy conversion technologies in the j4energy library, constantly updated in partnership with suppliers;80% lead time reduction from analysis to strategy to execution ;On average over 40% reduction in CO2 emission (depending on client's as-is situation);Fully digital evaluation approach with minimal CO2 emissions generated;","Dramatic reduction of lead times, from 6-8 months to 2-4 weeks;Zero upfront costs for customers through dedicated benefit sharing model;On average around 30 to 40 % of energy OPEX savings thanks to optimized investments;",Europe,"Italy,Germany,Hungary","Heat recovery system: Low temperature heating of premises by recycling waste heat from refrigeration systems (Energy,Buildings & Shelters);animeo Connect : Facade shading management solution for increased energy savings in buildings (Buildings & Shelters);Recovering heat : Standardized, ready-to-install solution for supermarkets to heat buildings or water using waste heat (Buildings & Shelters);LightFi: Continuously measure building occupancy to optimize energy use for HVAC and lighting



 (Buildings & Shelters);",/companies/view/j4
78,https://solarimpulse.com/solutions-explorer/blueroutes?queryID=d287172aa152c38a6cd2a48018523d98,Blueroutes,An AI-based maritime routing solution able to reduce container ships's fuel and GHG emissions by 5%,"The solution improves container ships routing across oceans, and reduce CO2 emissions by over 300,000 tons per year. With precise weather forecasts, our solutions can find the most efficient routes across oceans, and save over 5% of the ships' total fuel! How? By finding the most adequate weather conditions for refrigerated containers to use the least energy possible. Thanks to effective AI solutions, we demonstrate that the shortest routes across oceans are not always the most efficient!","March 3, 2023",Bluepulse.ai,France,Prototype testing in the real world,"New clients, Visibility, Funding","BusinessServicesInfrastructurePorts and Marine Infrastructure, BusinessServicesTransportersWaterways & Cargos","Marine & Oceans, Cargo ships, Logistics, Route optimization, Maritime shipping, Fuel efficiency","Energy, Freight, Vehicles and vessels, LogisticsPower and fuel distribution, Energy and fuel efficiency",https://youtu.be/zktdDXey4dE,"Refrigerated containers on a ship can use up to 20% of the ship's fuel for electricity use;The cold maritime shipments (food, lithium ion, some electronics) is growing at 5% CAGR;25% CO2 reduction from cold shipment across oceans;Up to 300,000 tons CO2e saved per year;",A 5 to 10m USD saving per year for a shipping line;Immediate RoI and no hardware / no retrofit required;,"Europe,Asia,Africa,North america,South america,Australia","Montenegro,Republic of Moldova,Monaco,Latvia,Luxembourg,Lithuania,Liechtenstein,Jersey,Italy,Iceland,Isle of Man,Ireland,Hungary,Croatia,Greece,Gibraltar,Guernsey,United Kingdom,France,Faroe Islands,Finland,Spain,Estonia,Denmark,Germany,Czechia,Switzerland,Belarus,Bulgaria,Belgium,Bosnia and Herzegovina,Åland,Austria,Albania,Andorra,Republic of Macedonia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Russia,Sweden,Slovenia,Svalbard and Jan Mayen,Slovakia,San Marino,Ukraine,Vatican City,Kosovo,Scotland,Sri Lanka,Lebanon,Laos,Kazakhstan,Kuwait,South Korea,North Korea,Cambodia,Kyrgyzstan,Japan,Jordan,Iran,Iraq,India,Israel,Indonesia,Hong Kong SAR,Georgia,Cyprus,China (Mainland),Bhutan,Brunei Darussalam,Bahrain,Bangladesh,Azerbaijan,Armenia,Afghanistan,United Arab Emirates,Myanmar [Burma],Mongolia,Macao SAR,Maldives,Malaysia,Nepal,Oman,Philippines,Pakistan,State of Palestine,Qatar,Saudi Arabia,Singapore,Syria,Thailand,Tajikistan,East Timor,Turkmenistan,Turkey,Taiwan,Uzbekistan,Vietnam,Yemen,Morocco,Libya,Lesotho,Liberia,Comoros,Kenya,British Indian Ocean Territory,Guinea-Bissau,Equatorial Guinea,Guinea,Gambia,Ghana,Gabon,Ethiopia,Eritrea,Western Sahara,Egypt,Algeria,Djibouti,Cape Verde,Cameroon,Ivory Coast,Republic of the Congo,Central African Republic,Democratic Republic of the Congo,Botswana,Benin,Burundi,Burkina Faso,Angola,Madagascar,Mali,Mauritania,Mauritius,Malawi,Mozambique,Namibia,Niger,Nigeria,R̩union,Rwanda,Seychelles,Sudan,Saint Helena,Sierra Leone,Senegal,Somalia,South Sudan,Ṣo Tom̩ and Pr?_ncipe,Swaziland,Chad,French Southern Territories,Togo,Tunisia,Tanzania,Uganda,Mayotte,South Africa,Zambia,Zimbabwe,Saint Lucia,Cayman Islands,Saint Kitts and Nevis,Jamaica,Haiti,Honduras,Guatemala,Guadeloupe,Greenland,Grenada,Dominican Republic,Dominica,Curacao,Cuba,Costa Rica,Canada,Belize,Bahamas,Bonaire, Sint Eustatius and Saba,Bermuda,Saint Barth̩lemy,Barbados,Aruba,Anguilla,Antigua and Barbuda,Saint Martin,Martinique,Montserrat,Mexico,Nicaragua,Panama,Saint Pierre and Miquelon,Puerto Rico,El Salvador,Sint Maarten,Turks and Caicos Islands,Trinidad and Tobago,United States,Saint Vincent and the Grenadines,British Virgin Islands,U.S. Virgin Islands,Guyana,South Georgia and the South Sandwich Islands,French Guiana,Falkland Islands,Ecuador,Colombia,Chile,Bouvet Island,Brazil,Bolivia,Argentina,Peru,Paraguay,Suriname,Uruguay,Venezuela,Kiribati,Heard Island and McDonald Islands,Guam,Micronesia,Fiji,Christmas Island,Cook Islands,Cocos [Keeling] Islands,Australia,American Samoa,Marshall Islands,Northern Mariana Islands,New Caledonia,Norfolk Island,Nauru,Niue,New Zealand,French Polynesia,Papua New Guinea,Pitcairn Islands,Palau,Solomon Islands,Tokelau,Tonga,Tuvalu,U.S. Minor Outlying Islands,Vanuatu,Wallis and Futuna,Samoa","ANTISMOG: An on-demand hydrogen fuel enhancement system for the reduction of air pollution from vehicles (Freight,Mobility);WeNow: A plug-and-play system for the driver to act for the climate now (Freight,Mobility);Heat recovery system: Low temperature heating of premises by recycling waste heat from refrigeration systems (Energy,Buildings & Shelters);Bound4blue : A novel wingsail system for assisted clean sailing in the maritime transport sector (Freight,Industry & Consumer Goods);",/companies/view/bluepulse-ai
79,https://solarimpulse.com/solutions-explorer/wasteloop-patent-alpenluft?queryID=d287172aa152c38a6cd2a48018523d98,Wasteloop (Patent Alpenluft),The new approach to waste disposal offers substantial energy savings of 80% due to local compaction and electric,"The solution enables a waste collection which is significantly more efficient, quieter and cleaner. The new approach based on local waste compaction not only reduces the number of transports, but also requires much less space in public areas. Full compactors are simply replaced and no longer emptied on site, which reduces noise emissions to a minimum and allows disposal at any time of day or night.

The clever combination of small compactors and the all-electric vehicle offers municipalities a new perspective and scores particularly well in the area of sustainability. ""Wasteloop"" is the alternative for municipalities looking for energy-efficient, low-emission waste disposal to achieve sustainability goals.

","February 28, 2023",System-Alpenluft AG,Switzerland,Initial market commercialization,"New clients, Visibility, Partners",Public Authorities,"Electric, Waste collection, Logistics, Waste sorting, Waste treatment, Electric vehicles","Waste/Pollution, Solid waste management",https://youtu.be/Fkm9fsqQpck,"Running on locally produced, renewable electricity;Collecting up to 5 tons of waste per hour with only one driver, without physical hard work thanks to machine driven handling;Lowest noise emissions allow operation during off-peak hours and even at night-time;Using renewable electricity instead of fossil fuels, nearly no CO2 is emitted during operations;80% less energy consumption: due to local compaction and more efficient electric vehicles, the overall energy consumption is reduced drastically;Silent: no noisy emptying on site and no noisy diesel vehicles ;","Payback time of additional investment around 7 years. Equipment lifespan of 25 years;Up to 30% cheaper than mainstream alternative;Long component lifespan, and retrofit possibilities provides long-term savings;",Europe,Switzerland,"SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);Pellenc ST: Optical sorting machines to recycle large amounts of waste quickly and accurately (Waste & Pollution);RT7000: A machine to chemically recycle plastic waste back into oil (Industry & Consumer Goods,Waste & Pollution);PYROWATTS: A disruptive waste to energy scalable gasifier for decentralized waste management (Waste & Pollution,Energy);",/companies/view/system-alpenluft-ag
